"","ExperimentName","Group","Gender","List","SubTrial","StimulDS1.CRESP","StimulDS1.RESP","StimulDS1.RT","File","Sub_Age"
"1","Digit Symbol - Kopie",1,"female","Trial:1",1,"","",NA,"1_wrong1","10 _ 26"
"2","Digit Symbol - Kopie",1,"female","Trial:1",2,"","",NA,"5_right","10 _ 26"
"3","Digit Symbol - Kopie",1,"female","Trial:1",3,"","",NA,"2_right","10 _ 26"
"4","Digit Symbol - Kopie",1,"female","Trial:1",4,"","",NA,"1_right","10 _ 26"
"5","Digit Symbol - Kopie",1,"female","Trial:1",5,"","",NA,"3_right","10 _ 26"
"6","Digit Symbol - Kopie",1,"female","Trial:1",6,"","",NA,"9_wrong3","10 _ 26"
"7","Digit Symbol - Kopie",1,"female","Trial:1",7,"","",NA,"8_wrong1","10 _ 26"
"8","Digit Symbol - Kopie",1,"female","Trial:1",8,"","",NA,"4_wrong2","10 _ 26"
"9","Digit Symbol - Kopie",1,"female","Trial:1",9,"","",NA,"4_right","10 _ 26"
"10","Digit Symbol - Kopie",1,"female","Trial:1",10,"","",NA,"6_wrong1","10 _ 26"
"11","Digit Symbol - Kopie",1,"female","Trial:2",1,"m","m",1837,"8_right","10 _ 26"
"12","Digit Symbol - Kopie",1,"female","Trial:2",2,"z","z",1175,"5_wrong1","10 _ 26"
"13","Digit Symbol - Kopie",1,"female","Trial:2",3,"z","z",1308,"2_wrong1","10 _ 26"
"14","Digit Symbol - Kopie",1,"female","Trial:2",4,"m","m",1051,"3_right","10 _ 26"
"15","Digit Symbol - Kopie",1,"female","Trial:2",5,"m","z",956,"5_right","10 _ 26"
"16","Digit Symbol - Kopie",1,"female","Trial:2",6,"z","z",1689,"4_wrong5","10 _ 26"
"17","Digit Symbol - Kopie",1,"female","Trial:2",7,"m","m",993,"6_right","10 _ 26"
"18","Digit Symbol - Kopie",1,"female","Trial:2",8,"m","m",901,"1_right","10 _ 26"
"19","Digit Symbol - Kopie",1,"female","Trial:2",9,"m","m",1340,"8_right","10 _ 26"
"20","Digit Symbol - Kopie",1,"female","Trial:2",10,"m","m",1186,"9_right","10 _ 26"
"21","Digit Symbol - Kopie",1,"female","Trial:2",11,"z","z",1062,"5_wrong5","10 _ 26"
"22","Digit Symbol - Kopie",1,"female","Trial:2",12,"m","m",1007,"1_right","10 _ 26"
"23","Digit Symbol - Kopie",1,"female","Trial:2",13,"z","z",1394,"5_wrong4","10 _ 26"
"24","Digit Symbol - Kopie",1,"female","Trial:2",14,"z","z",1270,"4_wrong1","10 _ 26"
"25","Digit Symbol - Kopie",1,"female","Trial:2",15,"z","z",1143,"8_wrong1","10 _ 26"
"26","Digit Symbol - Kopie",1,"female","Trial:2",16,"z","z",1013,"7_wrong1","10 _ 26"
"27","Digit Symbol - Kopie",1,"female","Trial:2",17,"z","z",976,"8_wrong2","10 _ 26"
"28","Digit Symbol - Kopie",1,"female","Trial:2",18,"z","z",844,"9_wrong5","10 _ 26"
"29","Digit Symbol - Kopie",1,"female","Trial:2",19,"m","m",1302,"5_right","10 _ 26"
"30","Digit Symbol - Kopie",1,"female","Trial:2",20,"z","z",973,"7_wrong3","10 _ 26"
"31","Digit Symbol - Kopie",1,"female","Trial:2",21,"z","z",970,"6_wrong1","10 _ 26"
"32","Digit Symbol - Kopie",1,"female","Trial:2",22,"m","m",846,"6_right","10 _ 26"
"33","Digit Symbol - Kopie",1,"female","Trial:2",23,"m","m",952,"4_right","10 _ 26"
"34","Digit Symbol - Kopie",1,"female","Trial:2",24,"m","m",933,"6_right","10 _ 26"
"35","Digit Symbol - Kopie",1,"female","Trial:2",25,"z","z",794,"7_wrong5","10 _ 26"
